Membership No  Date Joined  Active  
    82178      2015-11-10   no    
    18496      2020-8-2     no    
    52546      2017-6-23    no    
    78195      2015-2-1     no    
    78263      2017-9-19    no    
    22140      2015-6-21    no    
    17327      2016-8-22    no    
    83337      2017-9-15    no    
    55793      2017-12-5    no    
    35750      2016-11-25   no    
    40908      2020-6-23    no    
    53991      2018-3-18    no    
    27445      2019-11-18   no    
    14171      2020-6-11    no    
    54385      2017-8-3     no    
    27974      2020-5-2     no    
